attack,base_total,capture_rate,defense,experience_growth,height_m,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,trainer_id,id
82,500,75,78,1000000,1.7,80,Golduck,50,55,95,80,85,water,,76.6,1,0,1321,56
80,305,190,35,1000000,0.5,40,Mankey,50,56,35,45,70,fighting,,28,1,0,1200,57
105,455,75,60,1000000,1,65,Primeape,50,57,60,70,95,fighting,,32,1,0,441,58
70,350,190,45,1250000,0.7,55,Growlithe,75.4,58,70,50,60,fire,,19,1,0,1224,59
110,555,75,80,1250000,1.9,90,Arcanine,75.4,59,100,80,95,fire,,155,1,0,1335,60
50,300,255,40,1059860,0.6,40,Poliwag,50,60,40,40,90,water,,12.4,1,0,881,61
65,385,120,65,1059860,1,65,Poliwhirl,50,61,50,50,90,water,,20,1,0,693,62
95,510,45,95,1059860,1.3,90,Poliwrath,50,62,70,90,70,water,fighting,54,1,0,299,63
20,310,200,15,1059860,0.9,25,Abra,75.4,63,105,55,90,psychic,,19.5,1,0,771,64
35,400,100,30,1059860,1.3,40,Kadabra,75.4,64,120,70,105,psychic,,56.5,1,0,715,65
50,600,50,65,1059860,1.5,55,Alakazam,75.4,65,175,105,150,psychic,,48,1,0,1311,66
80,305,180,50,1059860,0.8,70,Machop,75.4,66,35,35,35,fighting,,19.5,1,0,418,67
100,405,90,70,1059860,1.5,80,Machoke,75.4,67,50,60,45,fighting,,70.5,1,0,1306,68
130,505,45,80,1059860,1.6,90,Machamp,75.4,68,65,85,55,fighting,,130,1,0,1041,69
75,300,255,35,1059860,0.7,50,Bellsprout,50,69,70,30,40,grass,poison,4,1,0,845,70
90,390,120,50,1059860,1,65,Weepinbell,50,70,85,45,55,grass,poison,6.4,1,0,1201,71
105,490,45,65,1059860,1.7,80,Victreebel,50,71,100,70,70,grass,poison,15.5,1,0,1165,72
40,335,190,35,1250000,0.9,40,Tentacool,50,72,50,100,70,water,poison,45.5,1,0,428,73
70,515,60,65,1250000,1.6,80,Tentacruel,50,73,80,120,100,water,poison,55,1,0,1209,74
80,300,255,100,1059860,,40,Geodude,50,74,30,30,20,rock,ground,,1,0,1020,75
95,390,120,115,1059860,,55,Graveler,50,75,45,45,35,rock,ground,,1,0,857,76
120,495,45,130,1059860,,80,Golem,50,76,55,65,45,rock,ground,,1,0,711,77
85,410,190,55,1000000,1,50,Ponyta,50,77,65,65,90,fire,,30,1,0,708,78
100,500,60,70,1000000,1.7,65,Rapidash,50,78,80,80,105,fire,,95,1,0,1143,79
65,315,190,65,1000000,1.2,90,Slowpoke,50,79,40,40,15,water,psychic,36,1,0,579,80
75,590,75,180,1000000,1.6,95,Slowbro,50,80,130,80,30,water,psychic,78.5,1,0,93,81
35,325,190,70,1000000,0.3,25,Magnemite,,81,95,55,45,electric,steel,6,1,0,425,82
60,465,60,95,1000000,1,50,Magneton,,82,120,70,70,electric,steel,60,1,0,1099,83
90,377,45,55,1000000,0.8,52,Farfetch'd,50,83,58,62,60,normal,flying,15,1,0,1300,84
85,310,190,45,1000000,1.4,35,Doduo,50,84,35,35,75,normal,flying,39.2,1,0,891,85
110,470,45,70,1000000,1.8,60,Dodrio,50,85,60,60,110,normal,flying,85.2,1,0,995,86
45,325,190,55,1000000,1.1,65,Seel,50,86,45,70,45,water,,90,1,0,1321,87
70,475,75,80,1000000,1.7,90,Dewgong,50,87,70,95,70,water,ice,120,1,0,763,88
80,325,190,50,1000000,,80,Grimer,50,88,40,50,25,poison,poison,,1,0,583,89
105,500,75,75,1000000,,105,Muk,50,89,65,100,50,poison,poison,,1,0,1138,90
65,305,190,100,1250000,0.3,30,Shellder,50,90,45,25,40,water,,4,1,0,1194,91
95,525,60,180,1250000,1.5,50,Cloyster,50,91,85,45,70,water,ice,132.5,1,0,59,92
35,310,190,30,1059860,1.3,30,Gastly,50,92,100,35,80,ghost,poison,0.1,1,0,57,93
50,405,90,45,1059860,1.6,45,Haunter,50,93,115,55,95,ghost,poison,0.1,1,0,207,94
65,600,45,80,1059860,1.5,60,Gengar,50,94,170,95,130,ghost,poison,40.5,1,0,415,95
45,385,45,160,1000000,8.8,35,Onix,50,95,30,45,70,rock,ground,210,1,0,703,96
48,328,190,45,1000000,1,60,Drowzee,50,96,43,90,42,psychic,,32.4,1,0,141,97
73,483,75,70,1000000,1.6,85,Hypno,50,97,73,115,67,psychic,,75.6,1,0,1023,98
105,325,225,90,1000000,0.4,30,Krabby,50,98,25,25,50,water,,6.5,1,0,100,99
130,475,60,115,1000000,1.3,55,Kingler,50,99,50,50,75,water,,60,1,0,319,100
30,330,190,50,1000000,0.5,40,Voltorb,,100,55,55,100,electric,,10.4,1,0,423,101
50,490,60,70,1000000,1.2,60,Electrode,,101,80,80,150,electric,,66.6,1,0,1226,102
40,325,90,80,1250000,0.4,60,Exeggcute,50,102,60,45,40,grass,psychic,2.5,1,0,210,103
105,530,45,85,1250000,,95,Exeggutor,50,103,125,75,45,grass,psychic,,1,0,501,104
50,320,190,95,1000000,0.4,50,Cubone,50,104,40,50,35,ground,,6.5,1,0,83,105
80,425,75,110,1000000,,60,Marowak,50,105,50,80,45,ground,fire,,1,0,594,106
120,455,45,53,1000000,1.5,50,Hitmonlee,100,106,35,110,87,fighting,,49.8,1,0,208,107
105,455,45,79,1000000,1.4,50,Hitmonchan,100,107,35,110,76,fighting,,50.2,1,0,185,108
55,385,45,75,1000000,1.2,90,Lickitung,50,108,60,75,30,normal,,65.5,1,0,1053,109
65,340,190,95,1000000,0.6,40,Koffing,50,109,60,45,35,poison,,1,1,0,713,110
90,490,60,120,1000000,1.2,65,Weezing,50,110,85,70,60,poison,,9.5,1,0,1066,111
85,345,120,95,1250000,1,80,Rhyhorn,50,111,30,30,25,ground,rock,115,1,0,1170,112
130,485,60,120,1250000,1.9,105,Rhydon,50,112,45,45,40,ground,rock,120,1,0,1248,113
5,450,30,5,800000,1.1,250,Chansey,0,113,35,105,50,normal,,34.6,1,0,299,114
55,435,45,115,1000000,1,65,Tangela,50,114,100,40,60,grass,,35,1,0,102,115
125,590,45,100,1000000,2.2,105,Kangaskhan,0,115,60,100,100,normal,,80,1,0,1278,116
40,295,225,70,1000000,0.4,30,Horsea,50,116,70,25,60,water,,8,1,0,85,117
65,440,75,95,1000000,1.2,55,Seadra,50,117,95,45,85,water,,25,1,0,1016,118
67,320,225,60,1000000,0.6,45,Goldeen,50,118,35,50,63,water,,15,1,0,532,119
92,450,60,65,1000000,1.3,80,Seaking,50,119,65,80,68,water,,39,1,0,1009,120
45,340,225,55,1250000,0.8,30,Staryu,,120,70,55,85,water,,34.5,1,0,928,121
75,520,60,85,1250000,1.1,60,Starmie,,121,100,85,115,water,psychic,80,1,0,1127,122
45,460,45,65,1000000,1.3,40,Mr. Mime,50,122,100,120,90,psychic,fairy,54.5,1,0,598,123
110,500,45,80,1000000,1.5,70,Scyther,50,123,55,80,105,bug,flying,56,1,0,820,124
50,455,45,35,1000000,1.4,65,Jynx,0,124,115,95,95,ice,psychic,40.6,1,0,576,125
83,490,45,57,1000000,1.1,65,Electabuzz,75.4,125,95,85,105,electric,,30,1,0,335,126
95,495,45,57,1000000,1.3,65,Magmar,75.4,126,100,85,93,fire,,44.5,1,0,734,127
155,600,45,120,1250000,1.5,65,Pinsir,50,127,65,90,105,bug,,55,1,0,236,128
100,490,45,95,1250000,1.4,75,Tauros,100,128,40,70,110,normal,,88.4,1,0,319,129
10,200,255,55,1250000,0.9,20,Magikarp,50,129,15,20,80,water,,10,1,0,118,130
155,640,45,109,1250000,6.5,95,Gyarados,50,130,70,130,81,water,flying,235,1,0,1270,131
85,535,45,80,1250000,2.5,130,Lapras,50,131,85,95,60,water,ice,220,1,0,1124,132
48,288,35,48,1000000,0.3,48,Ditto,,132,48,48,48,normal,,4,1,0,92,133
55,325,45,50,1000000,0.3,55,Eevee,88.1,133,45,65,55,normal,,6.5,1,0,186,134
65,525,45,60,1000000,1,130,Vaporeon,88.1,134,110,95,65,water,,29,1,0,1087,135
65,525,45,60,1000000,0.8,65,Jolteon,88.1,135,110,95,130,electric,,24.5,1,0,495,136
130,525,45,60,1000000,0.9,65,Flareon,88.1,136,95,110,65,fire,,25,1,0,794,137
60,395,45,70,1000000,0.8,65,Porygon,,137,85,75,40,normal,,36.5,1,0,549,138
40,355,45,100,1000000,0.4,35,Omanyte,88.1,138,90,55,35,rock,water,7.5,1,0,943,139
60,495,45,125,1000000,1,70,Omastar,88.1,139,115,70,55,rock,water,35,1,0,1202,140
80,355,45,90,1000000,0.5,30,Kabuto,88.1,140,55,45,55,rock,water,11.5,1,0,698,141
115,495,45,105,1000000,1.3,60,Kabutops,88.1,141,65,70,80,rock,water,40.5,1,0,1289,142
135,615,45,85,1250000,1.8,80,Aerodactyl,88.1,142,70,95,150,rock,flying,59,1,0,1336,143
110,540,25,65,1250000,2.1,160,Snorlax,88.1,143,65,110,30,normal,,460,1,0,889,144
85,580,3,100,1250000,1.7,90,Articuno,,144,95,125,85,ice,flying,55.4,1,1,1074,145
90,580,3,85,1250000,1.6,90,Zapdos,,145,125,90,100,electric,flying,52.6,1,1,778,146
100,580,3,90,1250000,2,90,Moltres,,146,125,85,90,fire,flying,60,1,1,1267,147
64,300,45,45,1250000,1.8,41,Dratini,50,147,50,50,50,dragon,,3.3,1,0,1066,148
84,420,45,65,1250000,4,61,Dragonair,50,148,70,70,70,dragon,,16.5,1,0,76,149
134,600,45,95,1250000,2.2,91,Dragonite,50,149,100,100,80,dragon,flying,210,1,0,835,150
150,780,3,70,1250000,2,106,Mewtwo,,150,194,120,140,psychic,,122,1,1,165,151
100,600,45,100,1059860,0.4,100,Mew,,151,100,100,100,psychic,,4,1,1,557,152
49,318,45,65,1059860,0.9,45,Chikorita,88.1,152,49,65,45,grass,,6.4,2,0,976,153
62,405,45,80,1059860,1.2,60,Bayleef,88.1,153,63,80,60,grass,,15.8,2,0,914,154
82,525,45,100,1059860,1.8,80,Meganium,88.1,154,83,100,80,grass,,100.5,2,0,763,155
52,309,45,43,1059860,0.5,39,Cyndaquil,88.1,155,60,50,65,fire,,7.9,2,0,147,156
64,405,45,58,1059860,0.9,58,Quilava,88.1,156,80,65,80,fire,,19,2,0,1067,157
84,534,45,78,1059860,1.7,78,Typhlosion,88.1,157,109,85,100,fire,,79.5,2,0,391,158
65,314,45,64,1059860,0.6,50,Totodile,88.1,158,44,48,43,water,,9.5,2,0,347,159
80,405,45,80,1059860,1.1,65,Croconaw,88.1,159,59,63,58,water,,25,2,0,752,160
105,530,45,100,1059860,2.3,85,Feraligatr,88.1,160,79,83,78,water,,88.8,2,0,431,161
46,215,255,34,1000000,0.8,35,Sentret,50,161,35,45,20,normal,,6,2,0,1311,162
76,415,90,64,1000000,1.8,85,Furret,50,162,45,55,90,normal,,32.5,2,0,532,163
30,262,255,30,1000000,0.7,60,Hoothoot,50,163,36,56,50,normal,flying,21.2,2,0,1032,164
50,452,90,50,1000000,1.6,100,Noctowl,50,164,86,96,70,normal,flying,40.8,2,0,1079,165
20,265,255,30,800000,1,40,Ledyba,50,165,40,80,55,bug,flying,10.8,2,0,601,166
35,390,90,50,800000,1.4,55,Ledian,50,166,55,110,85,bug,flying,35.6,2,0,984,167
60,250,255,40,800000,0.5,40,Spinarak,50,167,40,40,30,bug,poison,8.5,2,0,1066,168
90,400,90,70,800000,1.1,70,Ariados,50,168,60,70,40,bug,poison,33.5,2,0,123,169
90,535,90,80,1000000,1.8,85,Crobat,50,169,70,80,130,poison,flying,75,2,0,642,170
38,330,190,38,1250000,0.5,75,Chinchou,50,170,56,56,67,water,electric,12,2,0,316,171
58,460,75,58,1250000,1.2,125,Lanturn,50,171,76,76,67,water,electric,22.5,2,0,589,172
40,205,190,15,1000000,0.3,20,Pichu,50,172,35,35,60,electric,,2,2,0,630,173
25,218,150,28,800000,0.3,50,Cleffa,24.6,173,45,55,15,fairy,,3,2,0,643,174
30,210,170,15,800000,0.3,90,Igglybuff,24.6,174,40,20,15,normal,fairy,1,2,0,530,175
20,245,190,65,800000,0.3,35,Togepi,88.1,175,40,65,20,fairy,,1.5,2,0,807,176
40,405,75,85,800000,0.6,55,Togetic,88.1,176,80,105,40,fairy,flying,3.2,2,0,1114,177
50,320,190,45,1000000,0.2,40,Natu,50,177,70,45,70,psychic,flying,2,2,0,309,178
75,470,75,70,1000000,1.5,65,Xatu,50,178,95,70,95,psychic,flying,15,2,0,96,179
40,280,235,40,1059860,0.6,55,Mareep,50,179,65,45,35,electric,,7.8,2,0,426,180
55,365,120,55,1059860,0.8,70,Flaaffy,50,180,80,60,45,electric,,13.3,2,0,1166,181
95,610,45,105,1059860,1.4,90,Ampharos,50,181,165,110,45,electric,,61.5,2,0,668,182
80,490,45,95,1059860,0.4,75,Bellossom,50,182,90,100,50,grass,,5.8,2,0,1148,183
20,250,190,50,800000,0.4,70,Marill,50,183,20,50,40,water,fairy,8.5,2,0,840,184
50,420,75,80,800000,0.8,100,Azumarill,50,184,60,80,50,water,fairy,28.5,2,0,1147,185
100,410,65,115,1000000,1.2,70,Sudowoodo,50,185,30,65,30,rock,,38,2,0,876,186
75,500,45,75,1059860,1.1,90,Politoed,50,186,90,100,70,water,,33.9,2,0,1286,187
35,250,255,40,1059860,0.4,35,Hoppip,50,187,35,55,50,grass,flying,0.5,2,0,697,188
45,340,120,50,1059860,0.6,55,Skiploom,50,188,45,65,80,grass,flying,1,2,0,13,189
55,460,45,70,1059860,0.8,75,Jumpluff,50,189,55,95,110,grass,flying,3,2,0,441,190
70,360,45,55,800000,0.8,55,Aipom,50,190,40,55,85,normal,,11.5,2,0,14,191
30,180,235,30,1059860,0.3,30,Sunkern,50,191,30,30,30,grass,,1.8,2,0,193,192
75,425,120,55,1059860,0.8,75,Sunflora,50,192,105,85,30,grass,,8.5,2,0,338,193
65,390,75,45,1000000,1.2,65,Yanma,50,193,75,45,95,bug,flying,38,2,0,627,194
45,210,255,45,1000000,0.4,55,Wooper,50,194,25,25,15,water,ground,8.5,2,0,638,195
85,430,90,85,1000000,1.4,95,Quagsire,50,195,65,65,35,water,ground,75,2,0,496,196
65,525,45,60,1000000,0.9,65,Espeon,88.1,196,130,95,110,psychic,,26.5,2,0,52,197
65,525,45,110,1000000,1,95,Umbreon,88.1,197,60,130,65,dark,,27,2,0,1091,198
85,405,30,42,1059860,0.5,60,Murkrow,50,198,85,42,91,dark,flying,2.1,2,0,222,199
75,490,70,80,1000000,2,95,Slowking,50,199,100,110,30,water,psychic,79.5,2,0,775,200
60,435,45,60,800000,0.7,60,Misdreavus,50,200,85,85,85,ghost,,1,2,0,1252,201
72,336,225,48,1000000,0.5,48,Unown,,201,72,48,48,psychic,,5,2,0,1334,202
33,405,45,58,1000000,1.3,190,Wobbuffet,50,202,33,58,33,psychic,,28.5,2,0,1027,203
80,455,60,65,1000000,1.5,70,Girafarig,50,203,90,65,85,normal,psychic,41.5,2,0,305,204
65,290,190,90,1000000,0.6,50,Pineco,50,204,35,35,15,bug,,7.2,2,0,1211,205
90,465,75,140,1000000,1.2,75,Forretress,50,205,60,60,40,bug,steel,125.8,2,0,1201,206
70,415,190,70,1000000,1.5,100,Dunsparce,50,206,65,65,45,normal,,14,2,0,823,207
75,430,60,105,1059860,1.1,65,Gligar,50,207,35,65,85,ground,flying,64.8,2,0,480,208
125,610,25,230,1000000,9.2,75,Steelix,50,208,55,95,30,steel,ground,400,2,0,719,209
80,300,190,50,800000,0.6,60,Snubbull,24.6,209,40,40,30,fairy,,7.8,2,0,1236,210
120,450,75,75,800000,1.4,90,Granbull,24.6,210,60,60,45,fairy,,48.7,2,0,774,211
95,440,45,85,1000000,0.5,65,Qwilfish,50,211,55,55,85,water,poison,3.9,2,0,957,212
150,600,25,140,1000000,1.8,70,Scizor,50,212,65,100,75,bug,steel,118,2,0,40,213
10,505,190,230,1059860,0.6,20,Shuckle,50,213,10,230,5,bug,rock,20.5,2,0,155,214
185,600,45,115,1250000,1.5,80,Heracross,50,214,40,105,75,bug,fighting,54,2,0,689,215
95,430,60,55,1059860,0.9,55,Sneasel,50,215,35,75,115,dark,ice,28,2,0,726,216
80,330,120,50,1000000,0.6,60,Teddiursa,50,216,50,50,40,normal,,8.8,2,0,480,217
130,500,60,75,1000000,1.8,90,Ursaring,50,217,75,75,55,normal,,125.8,2,0,1042,218
40,250,190,40,1000000,0.7,40,Slugma,50,218,70,40,20,fire,,35,2,0,1083,219
50,430,75,120,1000000,0.8,60,Magcargo,50,219,90,80,30,fire,rock,55,2,0,610,220
50,250,225,40,1250000,0.4,50,Swinub,50,220,30,30,50,ice,ground,6.5,2,0,1243,221
100,450,75,80,1250000,1.1,100,Piloswine,50,221,60,60,50,ice,ground,55.8,2,0,633,222
55,410,60,95,800000,0.6,65,Corsola,24.6,222,65,95,35,water,rock,5,2,0,425,223
65,300,190,35,1000000,0.6,35,Remoraid,50,223,65,35,65,water,,12,2,0,9,224
105,480,75,75,1000000,0.9,75,Octillery,50,224,105,75,45,water,,28.5,2,0,1269,225
55,330,45,45,800000,0.9,45,Delibird,50,225,65,45,75,ice,flying,16,2,0,973,226
40,485,25,70,1250000,2.1,85,Mantine,50,226,80,140,70,water,flying,220,2,0,593,227
80,465,25,140,1250000,1.7,65,Skarmory,50,227,40,70,70,steel,flying,50.5,2,0,914,228
60,330,120,30,1250000,0.6,45,Houndour,50,228,80,50,65,dark,fire,10.8,2,0,1251,229
90,600,45,90,1250000,1.4,75,Houndoom,50,229,140,90,115,dark,fire,35,2,0,1121,230
95,540,45,95,1000000,1.8,75,Kingdra,50,230,95,95,85,water,dragon,152,2,0,289,231
60,330,120,60,1000000,0.5,90,Phanpy,50,231,40,40,40,ground,,33.5,2,0,182,232
120,500,60,120,1000000,1.1,90,Donphan,50,232,60,60,50,ground,,120,2,0,64,233
80,515,45,90,1000000,0.6,85,Porygon2,,233,105,95,60,normal,,32.5,2,0,586,234
95,465,45,62,1250000,1.4,73,Stantler,50,234,85,65,85,normal,,71.2,2,0,1233,235
20,250,45,35,800000,1.2,55,Smeargle,50,235,20,45,75,normal,,58,2,0,457,236
35,210,75,35,1000000,0.7,35,Tyrogue,100,236,35,35,35,fighting,,21,2,0,501,237
95,455,45,95,1000000,1.4,50,Hitmontop,100,237,35,110,70,fighting,,48,2,0,413,238
30,305,45,15,1000000,0.4,45,Smoochum,0,238,85,65,65,ice,psychic,6,2,0,395,239
63,360,45,37,1000000,0.6,45,Elekid,75.4,239,65,55,95,electric,,23.5,2,0,393,240
75,365,45,37,1000000,0.7,45,Magby,75.4,240,70,55,83,fire,,21.4,2,0,1250,241
80,490,45,105,1250000,1.2,95,Miltank,0,241,40,70,100,normal,,75.5,2,0,142,242
10,540,30,10,800000,1.5,255,Blissey,0,242,75,135,55,normal,,46.8,2,0,418,243
85,580,3,75,1250000,1.9,90,Raikou,,243,115,100,115,electric,,178,2,1,717,244
115,580,3,85,1250000,2.1,115,Entei,,244,90,75,100,fire,,198,2,1,1196,245
75,580,3,115,1250000,2,100,Suicune,,245,90,115,85,water,,187,2,1,276,246
64,300,45,50,1250000,0.6,50,Larvitar,50,246,45,50,41,rock,ground,72,2,0,467,247
84,410,45,70,1250000,1.2,70,Pupitar,50,247,65,70,51,rock,ground,152,2,0,716,248
164,700,45,150,1250000,2,100,Tyranitar,50,248,95,120,71,rock,dark,202,2,0,585,249
90,680,3,130,1250000,5.2,106,Lugia,,249,90,154,110,psychic,flying,216,2,1,1221,250
130,680,3,90,1250000,3.8,106,Ho-Oh,,250,110,154,90,fire,flying,199,2,1,1119,251
100,600,45,100,1059860,0.6,100,Celebi,,251,100,100,100,psychic,grass,5,2,1,597,252
45,310,45,35,1059860,0.5,40,Treecko,88.1,252,65,55,70,grass,,5,3,0,1055,253
65,405,45,45,1059860,0.9,50,Grovyle,88.1,253,85,65,95,grass,,21.6,3,0,855,254
110,630,45,75,1059860,1.7,70,Sceptile,88.1,254,145,85,145,grass,,52.2,3,0,778,255
60,310,45,40,1059860,0.4,45,Torchic,88.1,255,70,50,45,fire,,2.5,3,0,413,256
85,405,45,60,1059860,0.9,60,Combusken,88.1,256,85,60,55,fire,fighting,19.5,3,0,168,257
160,630,45,80,1059860,1.9,80,Blaziken,88.1,257,130,80,100,fire,fighting,52,3,0,642,258
70,310,45,50,1059860,0.4,50,Mudkip,88.1,258,50,50,40,water,,7.6,3,0,799,259
85,405,45,70,1059860,0.7,70,Marshtomp,88.1,259,60,70,50,water,ground,28,3,0,92,260
150,635,45,110,1059860,1.5,100,Swampert,88.1,260,95,110,70,water,ground,81.9,3,0,674,261
55,220,255,35,1000000,0.5,35,Poochyena,50,261,30,30,35,dark,,13.6,3,0,1078,262
90,420,127,70,1000000,1,70,Mightyena,50,262,60,60,70,dark,,37,3,0,846,263
30,240,255,41,1000000,0.4,38,Zigzagoon,50,263,30,41,60,normal,,17.5,3,0,191,264
70,420,90,61,1000000,0.5,78,Linoone,50,264,50,61,100,normal,,32.5,3,0,623,265
45,195,255,35,1000000,0.3,45,Wurmple,50,265,20,30,20,bug,,3.6,3,0,164,266
35,205,120,55,1000000,0.6,50,Silcoon,50,266,25,25,15,bug,,10,3,0,784,267
70,395,45,50,1000000,1,60,Beautifly,50,267,100,50,65,bug,flying,28.4,3,0,532,268
35,205,120,55,1000000,0.7,50,Cascoon,50,268,25,25,15,bug,,11.5,3,0,928,269
50,385,45,70,1000000,1.2,60,Dustox,50,269,50,90,65,bug,poison,31.6,3,0,608,270
30,220,255,30,1059860,0.5,40,Lotad,50,270,40,50,30,water,grass,2.6,3,0,866,271
50,340,120,50,1059860,1.2,60,Lombre,50,271,60,70,50,water,grass,32.5,3,0,723,272
70,480,45,70,1059860,1.5,80,Ludicolo,50,272,90,100,70,water,grass,55,3,0,1260,273
40,220,255,50,1059860,0.5,40,Seedot,50,273,30,30,30,grass,,4,3,0,1263,274
70,340,120,40,1059860,1,70,Nuzleaf,50,274,60,40,60,grass,dark,28,3,0,407,275
100,480,45,60,1059860,1.3,90,Shiftry,50,275,90,60,80,grass,dark,59.6,3,0,1221,276
55,270,200,30,1059860,0.3,40,Taillow,50,276,30,30,85,normal,flying,2.3,3,0,637,277
85,455,45,60,1059860,0.7,60,Swellow,50,277,75,50,125,normal,flying,19.8,3,0,256,278
